meanfreq,sd,median,Q25,Q75,IQR,sp.ent,sfm,centroid,kurt,skew,label
3.7242022665309755e-20,1.7652388854291936e-19,9.465426124791606e-21,5.8860572152795204e-21,2.0901706530931665e-20,1.5015649315652145e-20,1.0290350821174505e-15,26851388.98681488,499.7775868106127,205.495574441309,13.43596908238358,male
1.5632209300798194e-20,1.3207348308844343e-19,3.457129139363334e-21,2.6643830995114374e-21,6.347453876380698e-21,3.68307077686926e-21,4.319338875912229e-16,63970485.32232355,499.9547092472108,443.668891192128,20.65043315384041,male
1.4235767375683685e-20,1.714228540299183e-19,2.335351287027274e-21,1.8178101527474483e-21,4.2905118412289866e-21,2.4727016884815383e-21,3.9334875937056635e-16,70245599.54132602,499.9777860911574,481.2772019508918,21.844349075065843,male
3.002353477378809e-20,1.83847583669987e-19,7.774233290662539e-21,5.956621809429832e-21,1.4346784397287207e-20,8.390162587857374e-21,8.295808886080648e-16,33307205.08287922,499.9155839253915,359.2779102658658,18.04987214185588,male
6.393033659746548e-21,1.4055062836902909e-19,3.5361681772434976e-23,2.7093590854531404e-23,6.5097203389634e-23,3.8003612535102596e-23,1.7664602825197998e-16,156420262.994934,499.99807097364203,494.9972637540834,22.293382061822918,male
2.833433284025643e-20,1.8343756610145154e-19,5.639694286139777e-21,3.1903885189705367e-21,1.5066153842768435e-20,1.1875765323797899e-20,7.829065145627559e-16,35292873.630451344,499.7749727795903,366.66811606651544,18.270399237109647,male
2.5553753419392806e-20,1.3719414695911636e-19,6.542133740500744e-21,4.572018201717137e-21,1.3386359785485066e-20,8.814341583767928e-21,7.060762808472673e-16,39133195.391751766,499.7901270408367,293.68437686426955,16.067219409190763,male
3.3410473885675877e-20,1.69180301637534e-19,9.242798032294582e-21,6.0821491061985056e-21,1.7547624300066186e-20,1.1465475193867681e-20,9.231654796900932e-16,29930734.799879268,499.8165075043011,260.4243879011212,15.072756214630921,male
2.8094092493086913e-20,1.384558990444648e-19,6.385256117198331e-21,4.340841510230063e-21,1.6616871283709954e-20,1.2276029773479891e-20,7.762684429500395e-16,35594672.735563606,499.7238183505264,228.590853128648,14.118187681134883,male
1.5164112891975537e-20,1.538918376211773e-19,2.8883892057534528e-21,1.9767605222150315e-21,5.541079662695849e-21,3.5643191404808175e-21,4.189998996098919e-16,65945170.831145465,499.869896212479,467.3843691025947,21.39894873353004,male
1.5456431869435983e-20,1.3336209615854516e-19,3.051515364328259e-21,2.1413500627611344e-21,6.63250720158729e-21,4.4911571388261556e-21,4.270769773369715e-16,64697986.1784174,499.81445134948484,445.3316979937257,20.70196623932765,male
2.753224188896459e-20,1.4525551746640467e-19,3.2252258872749216e-21,1.2049688421274007e-21,2.0667151120146067e-20,1.9462182278018666e-20,7.607439351456655e-16,36321053.38770286,499.6275131015968,222.79803643287403,13.924877435484914,male
2.956628232741463e-20,1.5762027126090523e-19,3.897728595641639e-21,1.5260186995030179e-21,2.0526222157610915e-20,1.9000203458107897e-20,8.169465455900131e-16,33822312.13557224,499.6637997643092,239.07023230384692,14.413718116045349,male
3.497404486079587e-20,1.642926869807459e-19,7.52509367209643e-21,4.591462562136226e-21,2.1291105753759606e-20,1.669964319162338e-20,9.663685438428419e-16,28592633.164229065,499.72864852878854,183.621194418484,12.781365648019856,male
1.0074465350960223e-20,1.3723847440624117e-19,1.3909212712941209e-21,1.0739915210644659e-21,2.5607802577998754e-21,1.4867887367354095e-21,2.783677459082075e-16,99260851.59240173,499.97924720150945,487.37034068372094,22.042052887414634,male
1.7799724050465123e-20,1.412754466944904e-19,4.0830877788231285e-21,3.147069354910642e-21,7.529452098419618e-21,4.382382743508976e-21,4.918245308205502e-16,56180647.237257816,499.9480644036668,432.2691013359992,20.294188574427455,male
1.2432056907702678e-20,1.386376064754273e-19,2.2163206077313078e-21,1.7170342084613085e-21,4.056761161340758e-21,2.339726952879449e-21,3.435104075562454e-16,80437213.23479962,499.9938361504946,476.04528140373424,21.675908195835653,male
2.085791670345153e-20,1.4092865225749287e-19,5.177683361002613e-21,3.975112530063119e-21,9.533574191331086e-21,5.558461661267967e-21,5.763255165714376e-16,47943427.671874195,499.90098834706345,392.77442992892964,19.073201263444865,male
2.785998838171777e-20,1.4517339423467196e-19,3.153787408594431e-21,1.0080073835019609e-21,2.1213796695203768e-20,2.0205789311701807e-20,7.697999054132959e-16,35893770.455273956,499.6214946118038,209.44025617305147,13.525148130376708,male
3.676013940959008e-20,1.71959388509351e-19,7.301601060716164e-21,4.053963344995647e-21,2.303315785343458e-20,1.8979194508438933e-20,1.0157201573295546e-15,27203379.87889249,499.71957590461005,170.5177137641469,12.389748591299806,male
3.276796613746596e-20,1.6649881200321024e-19,4.414768104537822e-21,1.268042182936292e-21,2.2786853776289487e-20,2.1518811593353195e-20,9.054123354747915e-16,30517610.66197464,499.6707792821415,199.82065885578902,13.242375957447358,male
3.658892648423727e-20,1.8290483151081188e-19,1.0649854819342659e-20,6.80415320739246e-21,1.917388555182637e-20,1.236973234443391e-20,1.0109893655022378e-15,27330674.405539487,499.83035261916,253.38454549785104,14.863493355762609,male
